strategy,round,n_labeled,hv_frac_mean,hv_frac_std,pareto_recall_mean,pareto_recall_std
greedy,0,104,0.8153,0.0110,0.0117,0.0083
greedy,1,208,0.9403,0.0230,0.2515,0.0579
greedy,2,312,0.9632,0.0092,0.4094,0.0083
greedy,3,416,0.9818,0.0029,0.4795,0.0083
greedy,4,520,0.9839,0.0025,0.5497,0.0331
greedy,5,624,0.9844,0.0029,0.5789,0.0286
greedy,6,728,0.9852,0.0037,0.6023,0.0298
greedy,7,832,0.9863,0.0037,0.6491,0.0248
greedy,8,936,0.9886,0.0013,0.6901,0.0360
greedy,9,1040,0.9959,0.0011,0.7427,0.0360
greedy,10,1144,0.9965,0.0013,0.7778,0.0414
pareto,0,104,0.8153,0.0110,0.0117,0.0083
pareto,1,208,0.9227,0.0290,0.1520,0.0677
pareto,2,312,0.9565,0.0051,0.2398,0.0083
pareto,3,416,0.9815,0.0047,0.3275,0.0542
pareto,4,520,0.9849,0.0028,0.4035,0.0379
pareto,5,624,0.9906,0.0023,0.5088,0.0516
pareto,6,728,0.9931,0.0024,0.5556,0.0083
pareto,7,832,0.9940,0.0019,0.6199,0.0298
pareto,8,936,0.9948,0.0024,0.6491,0.0248
pareto,9,1040,0.9977,0.0002,0.7076,0.0083
pareto,10,1144,0.9977,0.0002,0.7251,0.0219
random,0,104,0.8153,0.0110,0.0117,0.0083
random,1,208,0.8600,0.0251,0.0234,0.0083
random,2,312,0.8739,0.0154,0.0468,0.0083
random,3,416,0.8827,0.0215,0.0585,0.0083
random,4,520,0.8887,0.0212,0.0643,0.0083
random,5,624,0.8995,0.0277,0.0877,0.0143
random,6,728,0.9161,0.0166,0.1170,0.0219
random,7,832,0.9190,0.0163,0.1170,0.0219
random,8,936,0.9211,0.0178,0.1170,0.0219
random,9,1040,0.9346,0.0203,0.1404,0.0248
random,10,1144,0.9422,0.0178,0.1462,0.0165
ucb,0,104,0.8153,0.0110,0.0117,0.0083
ucb,1,208,0.9218,0.0261,0.1871,0.0438
ucb,2,312,0.9605,0.0095,0.2865,0.0360
ucb,3,416,0.9832,0.0059,0.4094,0.0083
ucb,4,520,0.9871,0.0043,0.5263,0.0496
ucb,5,624,0.9899,0.0055,0.5789,0.0248
ucb,6,728,0.9950,0.0004,0.6257,0.0083
ucb,7,832,0.9958,0.0006,0.6725,0.0083
ucb,8,936,0.9959,0.0006,0.6959,0.0219
ucb,9,1040,0.9966,0.0012,0.7368,0.0496
ucb,10,1144,0.9976,0.0006,0.7661,0.0360
weighted,0,104,0.8153,0.0110,0.0117,0.0083
weighted,1,208,0.9192,0.0398,0.1579,0.0798
weighted,2,312,0.9606,0.0104,0.3333,0.0248
weighted,3,416,0.9753,0.0074,0.4327,0.0438
weighted,4,520,0.9834,0.0028,0.5029,0.0503
weighted,5,624,0.9854,0.0020,0.5439,0.0430
weighted,6,728,0.9904,0.0047,0.5848,0.0360
weighted,7,832,0.9943,0.0033,0.6491,0.0496
weighted,8,936,0.9976,0.0009,0.7018,0.0516
weighted,9,1040,0.9978,0.0009,0.7310,0.0414
weighted,10,1144,0.9980,0.0007,0.7661,0.0298
